TerminalID,client_code,UserID,T_code,T_alias,Branch,GRP,active,NeatID,Name
ASC003, ,ASC001, , , , , , ,
3.95003E+14, ,30529, , , , , , ,
3.95001E+14, ,70031, , , , , , ,
3.95001E+14, ,40316, , , , , , ,
3.95001E+14, ,40317, , , , , , ,
4.00064E+14, ,80117, , , , , , ,
4.00064E+14, ,80117, , , , , , ,
3.95003E+14, ,30531, , , , , , ,
3.95003E+14, ,30531, , , , , , ,
3.95009E+14, ,20001, , , , , , ,
3.95009E+14, ,20001, , , , , , ,
3.95009E+14, ,20002, , , , , , ,
3.95009E+14, ,20002, , , , , , ,
3.95009E+14, ,20003, , , , , , ,
3.95001E+14, ,40312, , , , , , ,
3.95009E+14, ,20004, , , , , , ,
3.95009E+14, ,20004, , , , , , ,
YASH1, ,40177H, , , , , , ,
3.95001E+14, ,40320, , , , , , ,
4.00064E+14, ,80039, , , , , , ,
3.95003E+14, ,60038, , , , , , ,
3.95001E+14, ,80131, , , , , , ,
4.00086E+14, ,80134, , , , , , ,
3.95001E+14, ,40011, , , , , , ,
4.00064E+14, ,85001, , , , , , ,
3.95001E+14, ,40011, , , , , , ,
4.00064E+14, ,85002, , , , , , ,
3.95001E+14, ,40011, , , , , , ,
4.00064E+14, ,85003, , , , , , ,
4.00064E+14, ,85004, , , , , , ,
4.00064E+14, ,85005, , , , , , ,
3.95001E+14, ,40011, , , , , , ,
4.00064E+14, ,85006, , , , , , ,
4.00064E+14, ,85007, , , , , , ,
3.95001E+14, ,40011, , , , , , ,
4.00086E+14, ,80135, , , , , , ,
4.00086E+14, ,95003, , , , , , ,
4.00086E+14, ,95004, , , , , , ,
4.00086E+14, ,80136, , , , , , ,
4.00086E+14, ,95001, , , , , , ,
4.00086E+14, ,95001, , , , , , ,
3.95001E+14, ,50513, , , , , , ,
3.95001E+14, ,70034, , , , , , ,
3.80009E+14, ,40416, , , , , , ,
4.00086E+14, ,95005, , , , , , ,
4.00086E+14, ,95006, , , , , , ,
4.00086E+14, ,95007, , , , , , ,
31316, ,30006, , , , , , ,
44114, ,80098, , , , , , ,
4.00064E+14, ,85008, , , , , , ,
34085, ,80001, , , , , , ,
4.00064E+14, ,85009, , , , , , ,
3.95001E+14, ,70035, , , , , , ,
3.95009E+14, ,20005, , , , , , ,
3.95009E+14, ,20005, , , , , , ,
3.95001E+14, ,40321, , , , , , ,
4.00064E+14, ,80017, , , , , , ,
3.95001E+14, ,70039, , , , , , ,
34733, ,80022, , , , , , ,
37773, ,30004, , , , , , ,
4.00086E+14, ,95002, , , , , , ,
4.00086E+14, ,95003, , , , , , ,
4.00086E+14, ,95004, , , , , , ,
4.00086E+14, ,95005, , , , , , ,
4.00086E+14, ,95006, , , , , , ,
4.00086E+14, ,95007, , , , , , ,
4.00086E+14, ,80134, , , , , , ,
4.00086E+14, ,80135, , , , , , ,
3.95001E+14, ,30004, , , , , , ,
46219, ,30005, , , , , , ,
3.95009E+14, ,20006, , , , , , ,
4.00064E+14, ,85010, , , , , , ,
4.00064E+14, ,85012, , , , , , ,
4.00086E+14, ,80139, , , , , , ,
4.00064E+14, ,85013, , , , , , ,
3.95001E+14, ,40419, , , , , , ,
3.95003E+14, ,60039, , , , , , ,
4.00604E+14, ,95009, , , , , , ,
4.00604E+14, ,95010, , , , , , ,
4.00604E+14, ,95011, , , , , , ,
4.00604E+14, ,95012, , , , , , ,
3.95001E+14, ,50130, , , , , , ,
3.95001E+14, ,50514, , , , , , ,
3.95003E+14, ,30530, , , , , , ,
3.95003E+14, ,30532, , , , , , ,
44292, ,80137, , , , , , ,
3.82355E+14, ,70037, , , , , , ,
3.95001E+14, ,30004, , , , , , ,
3.95001E+14, ,30006, , , , , , ,
3.95001E+14, ,80140, , , , , , ,
4.00064E+14, ,80015, , , , , , ,
4.00064E+14, ,80015, , , , , , ,
4.00064E+14, ,80138, , , , , , ,
3.95003E+14, ,30533, , , , , , ,
3.95003E+14, ,30533, , , , , , ,
