ClientCode,Exchange,Token,instrument,symbol,expiry,strike,c/p,dayQty,dayValue,LTP,MTM,SerialNO,OpenQty,OpenAmt,netQty,NetValue,FUT_MTM,OPT_MTM,NET_PREM,Prem_Margin,
A0042,NSEFO,91831,OPTSTK,ADANIPORTS,20221229,840.0,PE,0,0.0,14.35,0.0,138,-7500,107625.0,-7500,107625.0,0.0,0.0,-107625.0,0.0,
A0042,NSEFO,139485,OPTSTK,NTPC,20221229,180.0,CE,0,0.0,1.8,0.0,139,-5700,10260.0,-5700,10260.0,0.0,0.0,-10260.0,0.0,
6405,NSEFO,39816,OPTIDX,FINNIFTY,20221129,18600.0,PE,0,-180.0,2.3,0.0,140,0,0.0,0,-180.0,0.0,0.0,180.0,-180.0,
6405,NSEFO,39851,OPTIDX,FINNIFTY,20221129,19700.0,CE,0,-700.0,1.6,0.0,141,0,0.0,0,-700.0,0.0,0.0,700.0,-700.0,
6405,NSEFO,39847,OPTIDX,FINNIFTY,20221129,19600.0,CE,2000,-2820.0,2.6,0.0,142,0,0.0,2000,-2820.0,0.0,0.0,2820.0,-2820.0,
6405,NSEFO,39831,OPTIDX,FINNIFTY,20221129,19100.0,CE,-40,-75784.0,154.8,0.0,143,0,0.0,-40,-75784.0,0.0,0.0,75784.0,-75784.0,
6405,NSEFO,39828,OPTIDX,FINNIFTY,20221129,18900.0,PE,8800,-31966.0,5.0,0.0,144,-3600,18000.0,5200,-13966.0,0.0,0.0,13966.0,-31966.0,
6405,NSEFO,42903,OPTIDX,NIFTY,20221208,18800.0,CE,1000,-58275.0,50.9,0.0,145,3000,-152700.0,4000,-210975.0,0.0,0.0,210975.0,-58275.0,
6405,NSEFO,35589,OPTIDX,NIFTY,20221229,16500.0,PE,0,0.0,7.05,0.0,146,4000,-28200.0,4000,-28200.0,0.0,0.0,28200.0,0.0,
6405,NSEFO,50102,OPTIDX,NIFTY,20221201,19300.0,CE,-5000,6750.0,1.65,0.0,147,5000,-8250.0,0,-1499.9999999999998,0.0,0.0,1499.9999999999998,6750.0,
