ClientCode,Symbol,EXPO_Margin,SPAN_Margin,Total_Margin,FUT_MTM,OPT_MTM,FNO_MTM,PRM_MRG,
A0042,TORNTPOWER,114765,336780,451545,0,0,0,0,
A0042,TVSMOTOR,228757,1032283,1261040,0,0,0,0,
A0042,UPL,176801,562432,749048,0,0,0,9815,
A0042,VEDL,171728,720254,891982,0,0,0,0,
A0042,WIPRO,14098,60680,74778,0,0,0,0,
A0042,ZEEL,108948,665460,774408,0,0,0,0,
A0044,NIFTY,18512,-42533,-24020,0,0,0,0,
A0045,TATAPOWER,26471,160447,186919,0,0,0,0,
A0052,TATASTEEL,15797,94605,110402,0,0,0,0,
A0103,BANDHANBNK,82838,565344,648182,0,0,0,0,
A0103,GNFC,55255,424866,480121,0,0,0,0,
A0103,IDEA,39445,380800,420245,0,0,0,0,
A0103,IEX,39466,230025,269491,0,0,0,0,
A0103,MANAPPURAM,95088,599520,694608,0,0,0,0,
A0103,NATIONALUM,67294,459510,526804,0,0,0,0,
A0103,SAIL,35007,230760,265767,0,0,0,0,
A0104,HINDCOPPER,73000,552986,625986,0,0,0,0,
A0104,IDEA,39445,380800,420245,0,0,0,0,
A0104,ITC,76227,312960,389187,0,0,0,0,
A0104,M&M,61779,281316,343095,0,0,0,0,
A0104,MRF,94399,438447,532847,0,0,0,0,
A0104,NIFTY,1749454,1405309,3154764,0,0,0,0,
A0104,RECLTD,91602,404560,496162,0,0,0,0,
A0104,TATACHEM,36123,210020,246143,0,0,0,0,
A0104,TATACOMM,45365,248320,293685,0,0,0,0,
A0104,TATAPOWER,52943,322447,375391,0,0,0,0,
A0108,PNB,0,0,0,0,0,0,0,
A0111,AXISBANK,0,2040,2040,0,0,0,0,
A0111,ESCORTS,0,0,0,0,0,0,0,
A0111,IDFC,0,0,0,0,0,0,0,
A0119,ADANIPORTS,76965,96400,173365,0,0,0,0,
A0119,GUJGASLTD,21529,64974,86504,0,0,0,0,
A0119,IBULHSGFIN,48352,125480,173832,0,0,0,0,
A0119,NIFTY,314716,620641,936608,0,0,0,1250,
A0119,TATAMOTORS,345693,598956,944649,0,0,0,0,
A0119,ZEEL,54474,225420,279894,0,0,0,0,
A0120,GODREJPROP,29289,59406,88696,0,0,0,0,
A0120,TATAMOTORS,86423,149739,236162,0,0,0,0,
A0132,TCS,17795,47934,65729,0,0,0,0,
A0209,ADANIENT,170673,1069937,1240610,0,0,0,0,
A0209,BHEL,90349,214620,304969,0,0,0,0,
A0209,GMRINFRA,64102,385200,449302,0,0,0,0,
A0209,NIFTY,888612,713808,1602420,0,0,0,0,
A0209,PNB,0,0,0,0,0,0,0,
A0209,RAIN,43744,320670,364414,0,0,0,0,
A0316,BAJFINANCE,59040,104192,163233,0,0,0,0,
A0316,BALKRISIND,0,0,0,0,0,0,0,
A0316,LTI,51852,149838,201690,0,0,0,0,
A0340,SAIL,17503,115380,132883,0,0,0,0,
A0355,ADANIENT,34134,213987,248122,0,0,0,0,
A0355,ADANIPORTS,57723,317700,375423,0,0,0,0,
A0374,ABCAPITAL,51143,299484,350627,0,0,0,0,
A0374,ACC,43876,198785,242661,0,0,0,0,
A0374,BHEL,90349,215670,306019,0,0,0,0,
A0374,DELTACORP,26655,132020,158675,0,0,0,0,
A0374,NIFTY,916381,736114,1652495,0,0,0,0,
A0374,RECLTD,61068,270560,331628,0,0,0,0,
A0374,SAIL,35007,230760,265767,0,0,0,0,
A0374,TATACOMM,45365,248320,293685,0,0,0,0,
A0374,TATACONSUM,49716,216810,266526,0,0,0,0,
A0374,UPL,106080,528996,635076,0,0,0,0,
A0654,ADANIENT,68269,245210,313479,0,0,0,0,
A0718,TATAPOWER,52943,320895,373838,0,0,0,0,
A0977,TCS,62284,256152,318437,0,0,0,0,
A1381,NIFTY,0,0,0,0,0,0,0,
A1528,BANKNIFTY,2579037,7578503,11854959,0,0,0,1697418,
A1616,ACC,219384,993925,1213309,0,0,0,0,
A1616,AMBUJACEM,284583,1946951,2231535,0,0,0,0,
A1616,BALKRISIND,42553,208103,250657,0,0,0,0,
A1616,BANDHANBNK,55225,248796,304021,0,0,0,0,
A1616,DIVISLAB,350978,1637640,1988618,0,0,0,0,
A1616,INDIGO,120137,566595,686732,0,0,0,0,
A1616,MFSL,1438852,7366404,8835156,0,0,0,29900,
A1616,MOTHERSON,277452,1513620,1791072,0,0,0,0,
A1616,NIFTY,388767,887988,1276784,0,0,0,27,
A1616,PEL,0,0,0,0,0,0,0,
A1616,PVR,239230,900638,1139868,0,0,0,0,
A1616,SUNPHARMA,50658,207816,258474,0,0,0,0,
A1616,TITAN,68129,153656,221785,0,0,0,0,
A1616,TRENT,254430,968940,1223370,0,0,0,0,
A1616,UPL,141441,530543,693759,0,0,0,21775,
A1676,BANKNIFTY,0,9348,17213,0,0,0,7865,
A1676,FINNIFTY,92241,237522,354485,0,0,0,24722,
A1676,NIFTY,0,-8767,7860,0,0,0,16627,
A1716,BANKNIFTY,0,0,0,0,0,0,0,
A1877,BANKNIFTY,816695,1731835,2548520,0,0,0,-10,
A1910,BANKNIFTY,0,-62,-124,0,0,0,-62,
A1911,BANKNIFTY,0,-62,-124,0,0,0,-62,
A1946,BANKNIFTY,0,42154,77737,0,0,0,35582,
A1946,FINNIFTY,399711,1027944,1535401,0,0,0,107746,
A1946,NIFTY,0,-39247,23825,0,0,0,63072,
A1959,ACC,987229,4227292,5138672,0,0,0,-75850,
A1959,ADANIPORTS,384825,2109562,2494387,0,0,0,0,
A1959,AMBUJACEM,3628440,33577164,37205604,0,0,0,0,
A1959,BAJFINANCE,295203,164651,459854,0,0,0,0,
A1959,BANKNIFTY,171935,270462,442398,0,0,0,0,
A1959,CONCOR,400548,2151900,2552448,0,0,0,0,
A1959,DELTACORP,293211,1452220,1745431,0,0,0,0,
A1959,GNFC,55255,424866,480121,0,0,0,0,
A1959,IEX,59200,343350,402550,0,0,0,0,
A1959,JUBLFOOD,194687,193200,387887,0,0,0,0,
A1959,MARUTI,441955,275393,624573,0,0,0,-92775,
A1959,TATACHEM,144494,419740,564234,0,0,0,0,
A1977,BANKNIFTY,193427,247826,438421,0,0,0,-2832,
A1977,NIFTY,166614,222727,386979,0,0,0,-2362,
A2142,ADANIENT,68269,426560,494829,0,0,0,0,
A2142,BALRAMCHIN,42072,297088,339160,0,0,0,0,
A2142,GODREJPROP,43934,280341,324275,0,0,0,0,
A2142,GUJGASLTD,0,0,0,0,0,0,0,
A2142,IEX,118400,686700,805100,0,0,0,0,
A2142,INFY,171743,712440,884183,0,0,0,0,
A2142,METROPOLIS,30371,193367,223739,0,0,0,0,
A2142,NIFTY,18512,87030,105543,0,0,0,0,
A2142,SAIL,17503,115380,132883,0,0,0,0,
A2142,TATASTEEL,15797,94605,110402,0,0,0,0,
A2142,TVSMOTOR,50835,253679,304515,0,0,0,0,
A2142,VEDL,17172,120171,137344,0,0,0,0,
A2142,WIPRO,70490,303400,373890,0,0,0,0,
A2158,ABCAPITAL,25571,149040,174611,0,0,0,0,
A2158,BEL,64129,334134,398263,0,0,0,0,
A2158,GLENMARK,308890,789498,1098388,0,0,0,0,
A2158,HDFCLIFE,587186,1299155,1886341,0,0,0,0,
A2158,RBLBANK,52517,466100,518617,0,0,0,0,
A2158,TATAPOWER,105887,641790,747677,0,0,0,0,
A2158,WIPRO,0,0,0,0,0,0,0,
A2166,ADANIENT,1775000,11127350,12902350,0,0,0,0,
A2166,AMBUJACEM,747031,6828191,7575223,0,0,0,0,
A2166,AXISBANK,1342278,6681312,8023590,0,0,0,0,
A2166,BANKNIFTY,859679,5202530,6062209,0,0,0,0,
A2166,BHARATFORG,59293,322160,381453,0,0,0,0,
A2166,CANBK,154436,993870,1148306,0,0,0,0,
A2166,IDFC,898240,6220800,7119040,0,0,0,0,
A2166,IDFCFIRSTB,0,0,0,0,0,0,0,
A2166,NIFTY,5350184,25347467,30697652,0,0,0,0,
A2166,PFC,799753,3458484,4258237,0,0,0,0,
A2166,PIIND,444156,2241675,2685831,0,0,0,0,
A2166,RECLTD,732816,3231359,3964175,0,0,0,0,
A2221,ADANIPORTS,0,-1000,-16875,0,0,0,-15875,
A2221,APOLLOTYRE,71834,336770,425754,0,0,0,17150,
A2221,BANKBARODA,0,585,-8190,0,0,0,-8775,
A2221,BEL,42752,179436,222188,0,0,0,0,
