ARIHANT ,,,,,,,,,
46:Exposure Margin Report ,,,,,,,,,
Trade Date:23/09/2022 Exposure:3.50 Report Date:23/09/2022 ,,,,,,,,,
CLIENT_ID,Scrip,Net Qty,Cl.Price,Cl.Amt,Exposure Mrg,Span Mrg,Total Margin,% Margin,
14275,EO CE BAJFINANCE 29Sep22 7600.0000,-750,7502.55,5626913,196941.96,0,196941.96,3.5,
14275,EO CE BAJFINANCE 29Sep22 7900.0000,1125,7502.55,8440369,0,0,0,0,
14275,EO PE BAJFINANCE 29Sep22 7000.0000,-9500,7502.55,71274225,2494597.88,0,2494597.88,3.5,
14275,EO PE BAJFINANCE 29Sep22 7100.0000,-125,7502.55,937819,32823.67,0,32823.67,3.5,
14275,EO PE BAJFINANCE 29Sep22 7200.0000,500,7502.55,3751275,0,0,0,0,
14275,EO PE BAJFINANCE 29Sep22 7300.0000,-625,7502.55,4689094,164118.29,0,164118.29,3.5,
14275,EO PE BAJFINANCE 29Sep22 7500.0000,-125,7502.55,937819,32823.67,0,32823.67,3.5,
14275,EO PE BAJFINANCE 29Sep22 7700.0000,-250,7502.55,1875638,65647.33,0,65647.33,3.5,
14275,EF BALKRISIND 29Sep22,-8400,1892.3,15895320,556336.2,591063,1147399.2,7.22,
14275,EO CE BALKRISIND 27Oct22 2100.0000,600,1898.65,1139190,0,0,0,0,
14275,EO CE BALKRISIND 29Sep22 1900.0000,-3600,1892.3,6812280,238429.8,0,238429.8,3.5,
14275,EO CE BALKRISIND 29Sep22 1950.0000,-3900,1892.3,7379970,258298.95,0,258298.95,3.5,
14275,EO CE BALKRISIND 29Sep22 2000.0000,21000,1892.3,39738300,0,0,0,0,
14275,EO CE BALKRISIND 29Sep22 2050.0000,18900,1892.3,35764470,0,0,0,0,
14275,EO CE BALKRISIND 29Sep22 2100.0000,9600,1892.3,18166080,0,0,0,0,
14275,EO CE BALKRISIND 29Sep22 2300.0000,-300,1892.3,567690,19869.15,0,19869.15,3.5,
14275,EO PE BALKRISIND 29Sep22 1750.0000,2100,1892.3,3973830,0,0,0,0,
14275,EO PE BALKRISIND 29Sep22 1800.0000,-2700,1892.3,5109210,178822.35,0,178822.35,3.5,
14275,EO PE BALKRISIND 29Sep22 1900.0000,-6600,1892.3,12489180,437121.3,0,437121.3,3.5,
14275,EF BALRAMCHIN 27Oct22,-4800,362.15,1738320,152103,0,152103,8.75,
14275,EF BALRAMCHIN 29Sep22,25600,360.4,9226240,807296,2142832,2950128,31.98,
14275,EO CE BALRAMCHIN 29Sep22 380.0000,-30400,360.4,10956160,958664,0,958664,8.75,
14275,EO CE BALRAMCHIN 29Sep22 390.0000,4800,360.4,1729920,0,0,0,0,
14275,EO CE BALRAMCHIN 29Sep22 400.0000,112000,360.4,40364800,0,0,0,0,
14275,EO PE BALRAMCHIN 29Sep22 330.0000,-3200,360.4,1153280,100912,0,100912,8.75,
14275,EF BANDHANBNK 29Sep22,-23400,277.85,6501690,227559.15,240192,467751.15,7.19,
14275,EO CE BANDHANBNK 27Oct22 350.0000,-21600,279.25,6031800,211113,0,211113,3.5,
14275,EO CE BANDHANBNK 29Sep22 285.0000,-7200,277.85,2000520,70018.2,0,70018.2,3.5,
14275,EO CE BANDHANBNK 29Sep22 290.0000,9000,277.85,2500650,0,0,0,0,
